k,regressor,VA,RMSE,r2,file_type,dynamic,feature_sel,selection_method,pearson_treshold,max_features
10,DT,VA(std),0.0491776541409988,0.9504975143882144,eda,False,True,embedded,0.0,0
9,DT,VA(std),0.04931386286347866,-0.08871132309415225,eda,False,True,RFE,0.0,0
16,DT,VA(std),0.04943374442222657,0.9496711637863479,fusion,False,True,embedded,0.0,0
1,SVRlinear,VA(std),0.04957306338154003,0.8445576880527179,audio,False,True,Pearson,0.1,0
13,SVRlinear,VA(std),0.04957306338154003,0.8445576880527179,fusion,False,True,Pearson,0.1,0
9,kNN,VA(std),0.04958506696820816,-0.10966204236813767,eda,False,True,RFE,0.0,0
15,kNN,VA(std),0.04972044077953618,-0.10962108735427831,fusion,False,True,RFE,0.0,0
0,Ridge,VA(std),0.04990139699856487,0.48697497496509234,audio,False,False,none,0.0,0
7,SVRrbf,VA(std),0.049906754980905126,0.4427133218990493,eda,False,True,Pearson,0.05,0
0,LR,VA(std),0.04992266103340222,0.485852311207429,audio,False,False,none,0.0,0
11,SVRpoly,VA(std),0.04996297575942053,0.8071907258321047,eda,False,True,RreliefF,0.0,10
6,SVRlinear,VA(std),0.050231035237798136,0.5148690869807282,eda,False,False,none,0.0,0
7,DT,VA(std),0.050237607001717074,0.43195491678686954,eda,False,True,Pearson,0.05,0
17,SVRrbf,VA(std),0.050329837469809624,0.8274367531597641,fusion,False,True,RreliefF,0.0,10
17,DT,VA(std),0.05033552125359066,0.827130599755748,fusion,False,True,RreliefF,0.0,10
3,DT,VA(std),0.05043779450943735,0.8686171348220025,audio,False,True,RFE,0.0,0
4,DT,VA(std),0.050937292872039505,0.9019157818677879,audio,False,True,embedded,0.0,0
17,kNN,VA(std),0.051358175848334596,0.8185348326441522,fusion,False,True,RreliefF,0.0,10
0,DT,VA(std),0.05137864711228607,0.48515425353364866,audio,False,False,none,0.0,0
11,kNN,VA(std),0.051433228114334394,0.7936656925969892,eda,False,True,RreliefF,0.0,10
8,DT,VA(std),0.05156528901232225,0.9460375796561907,eda,False,True,backward,0.0,0
15,DT,VA(std),0.051604814772082355,-0.2000613559623683,fusion,False,True,RFE,0.0,0
5,DT,VA(std),0.05187391685999955,0.9287050781842867,audio,False,True,RreliefF,0.0,10
17,SVRpoly,VA(std),0.05225342533375209,0.8137221188008972,fusion,False,True,RreliefF,0.0,10
12,Ridge,VA(std),0.05236792283128015,0.45376317493787244,fusion,False,False,none,0.0,0
2,DT,VA(std),0.05240913773108387,0.9066963372957855,audio,False,True,backward,0.0,0
14,DT,VA(std),0.05253839524592198,0.9070053986181458,fusion,False,True,backward,0.0,0
6,DT,VA(std),0.05257499295463437,0.45702062186826736,eda,False,False,none,0.0,0
7,kNN,VA(std),0.052681788528300924,0.38488321873626574,eda,False,True,Pearson,0.05,0
12,DT,VA(std),0.05287392636726462,0.4556593309404893,fusion,False,False,none,0.0,0
3,kNN,VA(std),0.0530210717654383,0.8561780980913408,audio,False,True,RFE,0.0,0
13,DT,VA(std),0.05316970870388508,0.8253645932529361,fusion,False,True,Pearson,0.1,0
7,SVRpoly,VA(std),0.05336020510002552,0.36400667450302393,eda,False,True,Pearson,0.05,0
0,SVRlinear,VA(std),0.05359410959234395,0.4426865539484111,audio,False,False,none,0.0,0
1,DT,VA(std),0.053668484762399674,0.8291985170208035,audio,False,True,Pearson,0.1,0
9,SVRpoly,VA(std),0.0539721040485438,-0.34602209855463156,eda,False,True,RFE,0.0,0
15,SVRpoly,VA(std),0.05416678447857781,-0.33072633366772236,fusion,False,True,RFE,0.0,0
12,LR,VA(std),0.05425886291416079,0.4178792646094253,fusion,False,False,none,0.0,0
8,SVRrbf,VA(std),0.054522763903498694,0.9408572928590042,eda,False,True,backward,0.0,0
3,SVRrbf,VA(std),0.05545132660297556,0.8439511273349594,audio,False,True,RFE,0.0,0
12,SVRlinear,VA(std),0.05582880284909904,0.4006510105155745,fusion,False,False,none,0.0,0
6,SVRrbf,VA(std),0.05754122908809058,0.36873435709183944,eda,False,False,none,0.0,0
8,kNN,VA(std),0.05813674996369574,0.9327961390089909,eda,False,True,backward,0.0,0
8,RF,VA(std),0.05838602068789084,0.9319813877763403,eda,False,True,backward,0.0,0
6,SVRpoly,VA(std),0.05932117315252786,0.3276532092091786,eda,False,False,none,0.0,0
0,SVRrbf,VA(std),0.059567046125814725,0.3219799061320391,audio,False,False,none,0.0,0
8,SVRpoly,VA(std),0.05957320076893361,0.927761820819117,eda,False,True,backward,0.0,0
13,SVRrbf,VA(std),0.061031190476707985,0.7807781703153934,fusion,False,True,Pearson,0.1,0
1,SVRrbf,VA(std),0.061031190476707985,0.7807781703153934,audio,False,True,Pearson,0.1,0
5,SVRrbf,VA(std),0.06283089674859203,0.8979696921251008,audio,False,True,RreliefF,0.0,10
7,RF,VA(std),0.06311362343021686,0.17258753904486773,eda,False,True,Pearson,0.05,0
12,SVRrbf,VA(std),0.0633937851138691,0.23469062499803442,fusion,False,False,none,0.0,0
6,kNN,VA(std),0.06367297768610762,0.22354763177343379,eda,False,False,none,0.0,0
3,RF,VA(std),0.06609261564210323,0.7951971744789053,audio,False,True,RFE,0.0,0
1,kNN,VA(std),0.06712509122319413,0.7332746110748758,audio,False,True,Pearson,0.1,0
13,kNN,VA(std),0.06712509122319413,0.7332746110748758,fusion,False,True,Pearson,0.1,0
7,Lasso,VA(std),0.06820912379307749,-0.02009050203175764,eda,False,True,Pearson,0.05,0
7,ElasticNet,VA(std),0.06820912379307749,-0.02009050203175764,eda,False,True,Pearson,0.05,0
10,SVRrbf,VA(std),0.06824175858975058,0.9061264826268125,eda,False,True,embedded,0.0,0
0,RF,VA(std),0.06828931950641434,0.10584028547302729,audio,False,False,none,0.0,0
0,kNN,VA(std),0.06845547415020956,0.10852227862273187,audio,False,False,none,0.0,0
12,kNN,VA(std),0.0689692714672897,0.09459814471139169,fusion,False,False,none,0.0,0
12,SVRpoly,VA(std),0.06900533281021029,0.09485916186119552,fusion,False,False,none,0.0,0
10,kNN,VA(std),0.06946872841744708,0.8987919614601569,eda,False,True,embedded,0.0,0
12,RF,VA(std),0.06949883283841003,0.09376163230746222,fusion,False,False,none,0.0,0
6,RF,VA(std),0.07168230925801469,0.0051661202420278385,eda,False,False,none,0.0,0
4,SVRrbf,VA(std),0.07242188343240791,0.8115530522634022,audio,False,True,embedded,0.0,0
0,SVRpoly,VA(std),0.07312955948787969,-0.07729918433104191,audio,False,False,none,0.0,0
0,ElasticNet,VA(std),0.07344320776158876,-0.02440245580680911,audio,False,False,none,0.0,0
0,Lasso,VA(std),0.07344320776158876,-0.02440245580680911,audio,False,False,none,0.0,0
6,ElasticNet,VA(std),0.07344320776158876,-0.02440245580680911,eda,False,False,none,0.0,0
12,Lasso,VA(std),0.07344320776158876,-0.02440245580680911,fusion,False,False,none,0.0,0
6,Lasso,VA(std),0.07344320776158876,-0.02440245580680911,eda,False,False,none,0.0,0
12,ElasticNet,VA(std),0.07344320776158876,-0.02440245580680911,fusion,False,False,none,0.0,0
2,SVRrbf,VA(std),0.07449047105313346,0.822200958552787,audio,False,True,backward,0.0,0
14,SVRrbf,VA(std),0.07815212699813007,0.8052124198497401,fusion,False,True,backward,0.0,0
5,kNN,VA(std),0.07901752894727818,0.8377938403923759,audio,False,True,RreliefF,0.0,10
10,SVRpoly,VA(std),0.07974244967661344,0.8622535317624701,eda,False,True,embedded,0.0,0
1,RF,VA(std),0.08412923581151192,0.625643520886927,audio,False,True,Pearson,0.1,0
13,RF,VA(std),0.08469839667892698,0.5835229375899016,fusion,False,True,Pearson,0.1,0
16,SVRrbf,VA(std),0.08643983509439944,0.8510236870470408,fusion,False,True,embedded,0.0,0
1,SVRpoly,VA(std),0.08832313981246236,0.5583122759137179,audio,False,True,Pearson,0.1,0
13,SVRpoly,VA(std),0.08832313981246236,0.5583122759137179,fusion,False,True,Pearson,0.1,0
10,RF,VA(std),0.0914085867498574,0.7427695704855669,eda,False,True,embedded,0.0,0
2,kNN,VA(std),0.09188652066838655,0.7298889723395032,audio,False,True,backward,0.0,0
14,Ridge,VA(mean),0.0964210739870673,0.5305822164509761,fusion,False,True,backward,0.0,0
14,LR,VA(mean),0.0965464396046584,0.5297788693208307,fusion,False,True,backward,0.0,0
2,Ridge,VA(mean),0.09708907146584715,0.6844033387363953,audio,False,True,backward,0.0,0
2,LR,VA(mean),0.09716596288963772,0.6837489344183707,audio,False,True,backward,0.0,0
14,kNN,VA(std),0.09825059361539427,0.6888196184739154,fusion,False,True,backward,0.0,0
2,SVRlinear,VA(mean),0.09840266485047369,0.6746901556047702,audio,False,True,backward,0.0,0
16,kNN,VA(std),0.09914780038670193,0.8069902273796512,fusion,False,True,embedded,0.0,0
14,SVRlinear,VA(mean),0.09952167164303359,0.5010044022250476,fusion,False,True,backward,0.0,0
3,SVRpoly,VA(std),0.09968992865238338,0.5025679575431592,audio,False,True,RFE,0.0,0
4,SVRpoly,VA(std),0.10010866784446792,0.6277792931161679,audio,False,True,embedded,0.0,0
4,Ridge,VA(mean),0.10135913822210722,0.7120336721455865,audio,False,True,embedded,0.0,0
4,LR,VA(mean),0.10136967101062075,0.711923282505398,audio,False,True,embedded,0.0,0
4,SVRlinear,VA(mean),0.10183963062051796,0.708954200725529,audio,False,True,embedded,0.0,0
16,Ridge,VA(mean),0.10246052687349705,0.706924369279609,fusion,False,True,embedded,0.0,0
16,LR,VA(mean),0.10246695222672471,0.7068413839634697,fusion,False,True,embedded,0.0,0
15,Ridge,VA(mean),0.10249801613795526,0.7414263667720982,fusion,False,True,RFE,0.0,0
15,LR,VA(mean),0.10310597660509505,0.7385454804605762,fusion,False,True,RFE,0.0,0
16,SVRlinear,VA(mean),0.1033170175203966,0.7012465129626078,fusion,False,True,embedded,0.0,0
3,Ridge,VA(mean),0.10357565370565033,0.46169529978140006,audio,False,True,RFE,0.0,0
3,LR,VA(mean),0.10361660986243897,0.46071089028212375,audio,False,True,RFE,0.0,0
15,SVRlinear,VA(mean),0.10387730297078432,0.7338254217476724,fusion,False,True,RFE,0.0,0
4,kNN,VA(std),0.10449674240717763,0.6100213646214347,audio,False,True,embedded,0.0,0
3,SVRlinear,VA(mean),0.10470944323552722,0.4460097338929751,audio,False,True,RFE,0.0,0
1,Ridge,VA(mean),0.10485015102901045,0.7290450089505944,audio,False,True,Pearson,0.1,0
13,Ridge,VA(mean),0.10523930291417609,0.7272013739997596,fusion,False,True,Pearson,0.1,0
17,Ridge,VA(mean),0.10562412502354634,0.8485819875360118,fusion,False,True,RreliefF,0.0,10
17,LR,VA(mean),0.10567701840077073,0.8485262062045427,fusion,False,True,RreliefF,0.0,10
1,LR,VA(mean),0.10588492204289582,0.7231319268378553,audio,False,True,Pearson,0.1,0
17,SVRlinear,VA(mean),0.10629866089732112,0.8466284252456701,fusion,False,True,RreliefF,0.0,10
13,LR,VA(mean),0.10630515060701307,0.7209653628852876,fusion,False,True,Pearson,0.1,0
1,SVRlinear,VA(mean),0.10732446300749085,0.7160124828518286,audio,False,True,Pearson,0.1,0
5,Ridge,VA(mean),0.10734362848639298,0.8669218701360206,audio,False,True,RreliefF,0.0,10
5,LR,VA(mean),0.10775081445953735,0.8659577506010905,audio,False,True,RreliefF,0.0,10
5,SVRlinear,VA(mean),0.10797316583285137,0.8654542676440677,audio,False,True,RreliefF,0.0,10
0,Ridge,VA(mean),0.10808878015718318,0.8768931496942995,audio,False,False,none,0.0,0
13,SVRlinear,VA(mean),0.1083290854839221,0.7107449230392955,fusion,False,True,Pearson,0.1,0
0,LR,VA(mean),0.1102262175411158,0.8718185787966958,audio,False,False,none,0.0,0
14,SVRrbf,VA(mean),0.11110592764269096,0.3887527529464577,fusion,False,True,backward,0.0,0
5,SVRrbf,VA(mean),0.11144984407849456,0.8560630970045395,audio,False,True,RreliefF,0.0,10
3,SVRrbf,VA(mean),0.11321038464187519,0.3689732991031712,audio,False,True,RFE,0.0,0
10,LR,VA(mean),0.11361153723142262,0.6653896892435223,eda,False,True,embedded,0.0,0
10,Ridge,VA(mean),0.11361307953750055,0.6653878959834219,eda,False,True,embedded,0.0,0
8,LR,VA(mean),0.11365151127022274,0.5729579340589226,eda,False,True,backward,0.0,0
10,SVRlinear,VA(mean),0.11381902011925224,0.6639869352818055,eda,False,True,embedded,0.0,0
8,Ridge,VA(mean),0.11385285578803486,0.5720668791770368,eda,False,True,backward,0.0,0
0,SVRlinear,VA(mean),0.11397046382178885,0.8620239062411834,audio,False,False,none,0.0,0
8,SVRlinear,VA(mean),0.11412958431586484,0.5699975727705198,eda,False,True,backward,0.0,0
