k,regressor,VA,RMSE,r2,type,dynamic,feature_sel,method,Ptresh,max_feat
2,ElasticNet,V(std),0.04589012877926229,-0.02637164777788272,audio,False,True,backward,0.0,0
12,Lasso,V(std),0.04589012877926229,-0.02637164777788272,fusion,False,False,none,0.0,0
12,ElasticNet,V(std),0.04589012877926229,-0.02637164777788272,fusion,False,False,none,0.0,0
17,Lasso,V(std),0.04589012877926229,-0.02637164777788272,fusion,False,True,RreliefF,0.0,10
11,ElasticNet,V(std),0.04589012877926229,-0.02637164777788272,eda,False,True,RreliefF,0.0,10
7,Lasso,V(std),0.04589012877926229,-0.02637164777788272,eda,False,True,Pearson,0.05,0
5,Lasso,V(std),0.04589012877926229,-0.02637164777788272,audio,False,True,RreliefF,0.0,10
2,Lasso,V(std),0.04589012877926229,-0.02637164777788272,audio,False,True,backward,0.0,0
13,ElasticNet,V(std),0.04589012877926229,-0.02637164777788272,fusion,False,True,Pearson,0.1,0
13,Lasso,V(std),0.04589012877926229,-0.02637164777788272,fusion,False,True,Pearson,0.1,0
11,Lasso,V(std),0.04589012877926229,-0.02637164777788272,eda,False,True,RreliefF,0.0,10
4,Lasso,V(std),0.04589012877926229,-0.02637164777788272,audio,False,True,embedded,0.0,0
4,ElasticNet,V(std),0.04589012877926229,-0.02637164777788272,audio,False,True,embedded,0.0,0
6,ElasticNet,V(std),0.04589012877926229,-0.02637164777788272,eda,False,False,none,0.0,0
15,Lasso,V(std),0.04589012877926229,-0.02637164777788272,fusion,False,True,RFE,0.0,0
7,ElasticNet,V(std),0.04589012877926229,-0.02637164777788272,eda,False,True,Pearson,0.05,0
17,ElasticNet,V(std),0.04589012877926229,-0.02637164777788272,fusion,False,True,RreliefF,0.0,10
8,ElasticNet,V(std),0.04589012877926229,-0.02637164777788272,eda,False,True,backward,0.0,0
8,Lasso,V(std),0.04589012877926229,-0.02637164777788272,eda,False,True,backward,0.0,0
5,ElasticNet,V(std),0.04589012877926229,-0.02637164777788272,audio,False,True,RreliefF,0.0,10
16,Lasso,V(std),0.04589012877926229,-0.02637164777788272,fusion,False,True,embedded,0.0,0
3,ElasticNet,V(std),0.04589012877926229,-0.02637164777788272,audio,False,True,RFE,0.0,0
3,Lasso,V(std),0.04589012877926229,-0.02637164777788272,audio,False,True,RFE,0.0,0
16,ElasticNet,V(std),0.04589012877926229,-0.02637164777788272,fusion,False,True,embedded,0.0,0
15,ElasticNet,V(std),0.04589012877926229,-0.02637164777788272,fusion,False,True,RFE,0.0,0
14,ElasticNet,V(std),0.04589012877926229,-0.02637164777788272,fusion,False,True,backward,0.0,0
0,ElasticNet,V(std),0.04589012877926229,-0.02637164777788272,audio,False,False,none,0.0,0
1,Lasso,V(std),0.04589012877926229,-0.02637164777788272,audio,False,True,Pearson,0.1,0
1,ElasticNet,V(std),0.04589012877926229,-0.02637164777788272,audio,False,True,Pearson,0.1,0
9,Lasso,V(std),0.04589012877926229,-0.02637164777788272,eda,False,True,RFE,0.0,0
0,Lasso,V(std),0.04589012877926229,-0.02637164777788272,audio,False,False,none,0.0,0
9,ElasticNet,V(std),0.04589012877926229,-0.02637164777788272,eda,False,True,RFE,0.0,0
10,Lasso,V(std),0.04589012877926229,-0.02637164777788272,eda,False,True,embedded,0.0,0
10,ElasticNet,V(std),0.04589012877926229,-0.02637164777788272,eda,False,True,embedded,0.0,0
14,Lasso,V(std),0.04589012877926229,-0.02637164777788272,fusion,False,True,backward,0.0,0
6,Lasso,V(std),0.04589012877926229,-0.02637164777788272,eda,False,False,none,0.0,0
11,Ridge,V(std),0.04591619177472123,-0.02720879530539557,eda,False,True,RreliefF,0.0,10
11,LR,V(std),0.045983340447771984,-0.030102405680460777,eda,False,True,RreliefF,0.0,10
1,Ridge,V(std),0.04598452322315176,-0.03138267292816068,audio,False,True,Pearson,0.1,0
13,Ridge,V(std),0.04598452322315176,-0.03138267292816068,fusion,False,True,Pearson,0.1,0
9,RF,V(std),0.046058967741203896,-0.05187881818582869,eda,False,True,RFE,0.0,0
12,kNN,A(std),0.04610646302239428,0.02707292080568243,fusion,False,False,none,0.0,0
14,kNN,A(std),0.04612129104358682,0.02740659710294161,fusion,False,True,backward,0.0,0
9,LR,V(std),0.04613046003331201,-0.03863162599421719,eda,False,True,RFE,0.0,0
4,kNN,A(std),0.046133503946740956,0.033819919229166495,audio,False,True,embedded,0.0,0
9,Ridge,V(std),0.04615149775992856,-0.03908336944176104,eda,False,True,RFE,0.0,0
3,RF,V(std),0.046156814120240315,-0.03409242855166973,audio,False,True,RFE,0.0,0
1,LR,V(std),0.046163882210317315,-0.04087592399945174,audio,False,True,Pearson,0.1,0
13,LR,V(std),0.046163882210317315,-0.04087592399945174,fusion,False,True,Pearson,0.1,0
7,Ridge,V(std),0.04616654808150013,-0.03849160169705577,eda,False,True,Pearson,0.05,0
17,Ridge,V(std),0.04622647356043207,-0.04138033338476734,fusion,False,True,RreliefF,0.0,10
17,RF,V(std),0.046270661775069846,-0.0418552134618819,fusion,False,True,RreliefF,0.0,10
17,LR,V(std),0.04627983341209031,-0.04371781840982649,fusion,False,True,RreliefF,0.0,10
7,LR,V(std),0.04628914605844918,-0.04375431623878828,eda,False,True,Pearson,0.05,0
15,Ridge,V(std),0.046357112857878795,-0.049763131419781635,fusion,False,True,RFE,0.0,0
6,RF,V(std),0.04640460154967776,-0.056309226379251974,eda,False,False,none,0.0,0
15,RF,V(std),0.046425189979697475,-0.04086214652726389,fusion,False,True,RFE,0.0,0
11,RF,V(std),0.04644568281601875,-0.03321101662107184,eda,False,True,RreliefF,0.0,10
17,kNN,A(std),0.04647325782124932,0.01772850117275814,fusion,False,True,RreliefF,0.0,10
15,LR,V(std),0.04649700610692643,-0.05657033012630316,fusion,False,True,RFE,0.0,0
8,RF,V(std),0.046515576259109605,-0.06405031869025464,eda,False,True,backward,0.0,0
7,RF,V(std),0.04652137796921026,-0.05063016080265544,eda,False,True,Pearson,0.05,0
0,LR,A(std),0.046581556131881224,0.006569174860731497,audio,False,False,none,0.0,0
0,SVRrbf,V(std),0.046765278364388464,-0.07069708917179858,audio,False,False,none,0.0,0
3,kNN,A(std),0.046805909486578604,0.0018114577437038815,audio,False,True,RFE,0.0,0
15,kNN,A(std),0.04692324970307724,-0.006073339693917423,fusion,False,True,RFE,0.0,0
13,SVRrbf,V(std),0.04692727960545019,-0.07819748099241944,fusion,False,True,Pearson,0.1,0
1,SVRrbf,V(std),0.04692727960545019,-0.07819748099241944,audio,False,True,Pearson,0.1,0
8,Ridge,A(std),0.04699562726348836,-0.0006997985892731373,eda,False,True,backward,0.0,0
8,LR,A(std),0.0469970545009616,-0.0007769487341525605,eda,False,True,backward,0.0,0
