k,regressor,VA,RMSE,r2,type,dynamic,feature_sel,method,Ptresh,max_feat
1,RF,A(mean),0.13007469047378012,0.4974550985888796,audio,False,True,Pearson,0.1,0
1,LR,V(std),0.046163882210317315,-0.04087592399945174,audio,False,True,Pearson,0.1,0
1,Lasso,V(std),0.04589012877926229,-0.02637164777788272,audio,False,True,Pearson,0.1,0
1,ElasticNet,V(std),0.04589012877926229,-0.02637164777788272,audio,False,True,Pearson,0.1,0
1,Ridge,V(std),0.04598452322315176,-0.03138267292816068,audio,False,True,Pearson,0.1,0
1,kNN,V(std),0.04830251707054693,-0.1387563594156826,audio,False,True,Pearson,0.1,0
1,SVRrbf,V(std),0.04692727960545019,-0.07819748099241944,audio,False,True,Pearson,0.1,0
1,SVRpoly,V(std),0.049068871468378975,-0.1806737628014155,audio,False,True,Pearson,0.1,0
1,SVRlinear,V(std),0.048614826278762735,-0.15928989882969918,audio,False,True,Pearson,0.1,0
1,DT,V(std),0.04927338768242699,-0.19450877645504955,audio,False,True,Pearson,0.1,0
1,RF,V(std),0.04607170469427056,-0.012907055132622969,audio,False,True,Pearson,0.1,0
1,LR,A(std),0.04433176666307977,0.10259371086733268,audio,False,True,Pearson,0.1,0
1,Lasso,A(std),0.047309449376286436,-0.01277272859291274,audio,False,True,Pearson,0.1,0
1,ElasticNet,A(std),0.047309449376286436,-0.01277272859291274,audio,False,True,Pearson,0.1,0
1,Ridge,A(std),0.043920141343309106,0.11916688919155824,audio,False,True,Pearson,0.1,0
1,kNN,A(std),0.04751768780855576,-0.0274993380144526,audio,False,True,Pearson,0.1,0
1,SVRrbf,A(std),0.050135752245516044,-0.14675294265301062,audio,False,True,Pearson,0.1,0
1,SVRpoly,A(std),0.04945744009394722,-0.11516781371583065,audio,False,True,Pearson,0.1,0
1,SVRlinear,A(std),0.05060693406366492,-0.17247686798147902,audio,False,True,Pearson,0.1,0
1,DT,A(std),0.05104503634192562,-0.20745114504965717,audio,False,True,Pearson,0.1,0
1,RF,A(std),0.04406688686544839,0.14453462983950674,audio,False,True,Pearson,0.1,0
2,LR,V(mean),0.11000369922758502,0.5058779881226256,audio,False,True,backward,0.0,0
2,Lasso,V(mean),0.16209141940693142,-0.05571947349344177,audio,False,True,backward,0.0,0
2,ElasticNet,V(mean),0.16209141940693142,-0.05571947349344177,audio,False,True,backward,0.0,0
2,Ridge,V(mean),0.10994810123628987,0.5057312085491272,audio,False,True,backward,0.0,0
2,kNN,V(mean),0.12523184716956032,0.364740284863207,audio,False,True,backward,0.0,0
2,SVRrbf,V(mean),0.1194700910397106,0.41612366003564405,audio,False,True,backward,0.0,0
2,SVRpoly,V(mean),0.16633205202179252,-0.18563476179427504,audio,False,True,backward,0.0,0
2,SVRlinear,V(mean),0.11059791891243823,0.5014471978502306,audio,False,True,backward,0.0,0
2,DT,V(mean),0.13888990923113295,0.21184106781210899,audio,False,True,backward,0.0,0
2,RF,V(mean),0.12456031809583809,0.3670438083198845,audio,False,True,backward,0.0,0
2,LR,A(mean),0.09326857119630548,0.7250732021273639,audio,False,True,backward,0.0,0
2,Lasso,A(mean),0.18445236779445312,-0.039253879148525336,audio,False,True,backward,0.0,0
2,ElasticNet,A(mean),0.18445236779445312,-0.039253879148525336,audio,False,True,backward,0.0,0
2,Ridge,A(mean),0.09339138170051615,0.7234106868208894,audio,False,True,backward,0.0,0
2,kNN,A(mean),0.11866316795115009,0.5633417517055292,audio,False,True,backward,0.0,0
2,SVRrbf,A(mean),0.10894973908454963,0.629877565020094,audio,False,True,backward,0.0,0
2,SVRpoly,A(mean),0.20366746496620367,-1.2338797047093422,audio,False,True,backward,0.0,0
2,SVRlinear,A(mean),0.09400259558734594,0.7211903389518499,audio,False,True,backward,0.0,0
2,DT,A(mean),0.13113017749163064,0.46238191836025955,audio,False,True,backward,0.0,0
2,RF,A(mean),0.1268137709433896,0.5000378037147905,audio,False,True,backward,0.0,0
2,LR,V(std),0.044145563147221865,0.04922285784543877,audio,False,True,backward,0.0,0
2,Lasso,V(std),0.04589012877926229,-0.02637164777788272,audio,False,True,backward,0.0,0
2,ElasticNet,V(std),0.04589012877926229,-0.02637164777788272,audio,False,True,backward,0.0,0
2,Ridge,V(std),0.04441893622628972,0.03708195136670413,audio,False,True,backward,0.0,0
2,kNN,V(std),0.049089328427838766,-0.17334578984161875,audio,False,True,backward,0.0,0
2,SVRrbf,V(std),0.04725301756023321,-0.09529218123948309,audio,False,True,backward,0.0,0
2,SVRpoly,V(std),0.04982206691683795,-0.21710490631057464,audio,False,True,backward,0.0,0
2,SVRlinear,V(std),0.04821368118164646,-0.14532171511937678,audio,False,True,backward,0.0,0
2,DT,V(std),0.050118441648453194,-0.22926427813185316,audio,False,True,backward,0.0,0
2,RF,V(std),0.04628053904141037,-0.03817961364588292,audio,False,True,backward,0.0,0
2,LR,A(std),0.04177053252694314,0.20851243243740444,audio,False,True,backward,0.0,0
2,Lasso,A(std),0.047309449376286436,-0.01277272859291274,audio,False,True,backward,0.0,0
2,ElasticNet,A(std),0.047309449376286436,-0.01277272859291274,audio,False,True,backward,0.0,0
2,Ridge,A(std),0.041760728270516835,0.2087628976837516,audio,False,True,backward,0.0,0
2,kNN,A(std),0.047042305992711406,-0.0046041725926944,audio,False,True,backward,0.0,0
2,SVRrbf,A(std),0.049926873801530075,-0.1375053052731565,audio,False,True,backward,0.0,0
2,SVRpoly,A(std),0.051928997024910294,-0.22306110342721636,audio,False,True,backward,0.0,0
2,SVRlinear,A(std),0.04853990033314419,-0.07696698022131933,audio,False,True,backward,0.0,0
2,DT,A(std),0.04797367872015695,-0.06724547704400888,audio,False,True,backward,0.0,0
2,RF,A(std),0.044089791651483565,0.13474056716511756,audio,False,True,backward,0.0,0
3,LR,V(mean),0.1222709834887783,0.3739055073020173,audio,False,True,RFE,0.0,0
3,Lasso,V(mean),0.16209141940693142,-0.05571947349344177,audio,False,True,RFE,0.0,0
3,ElasticNet,V(mean),0.16209141940693142,-0.05571947349344177,audio,False,True,RFE,0.0,0
3,Ridge,V(mean),0.11986724359874065,0.40004369268159196,audio,False,True,RFE,0.0,0
3,kNN,V(mean),0.12600090182928986,0.3545941138893215,audio,False,True,RFE,0.0,0
3,SVRrbf,V(mean),0.1192726662771059,0.42015371966489407,audio,False,True,RFE,0.0,0
3,SVRpoly,V(mean),0.21388004998742943,-2.3667471177671358,audio,False,True,RFE,0.0,0
